"id","tag","name","romanized_name","birthday","country","race","rating","position","sum_earnings"
485,"Serral","Joona Sotala",NULL,"1998-03-22","FI","Z","3762",1,"1304282"
49,"Maru","조성주","Cho Seong Ju","1997-07-28","KR","T","3423",5,"1162687"
1662,"Rogue","이병렬","Lee Byung Ryul","1994-01-13","KR","Z","2978",NULL,"1030970"
76,"Dark","박령우","Park Ryung Woo","1995-10-06","KR","Z","3380",6,"1003946"
48,"INnoVation","이신형","Lee Shin Hyung","1993-07-25","KR","T","2790",NULL,"741536"
5414,"Reynor","Riccardo Romiti",NULL,"2002-07-01","IT","Z","3321",7,"733978"
63,"TY","전태양","Jun Tae Yang","1994-09-18","KR","T","2582",NULL,"679833"
1658,"Zest","주성욱","Joo Sung Wook","1992-07-11","KR","P","2944",NULL,"652314"
110,"sOs","김유진","Kim Yoo Jin","1993-10-16","KR","P","2604",NULL,"622197"
309,"Stats","김대엽","Kim Dae Yeob","1992-05-15","KR","P","2746",26,"601150"
125,"soO","어윤수","Eo Yun Su","1992-09-24","KR","Z","2551",37,"597578"
4495,"Neeb","Alex Sunderhaft",NULL,"1998-02-17","US","P","2965",NULL,"587837"
1793,"Solar","강민수","Kang Min Soo","1996-05-09","KR","Z","3238",9,"572041"
47,"ByuN","변현우","Byun Hyun Woo","1993-05-08","KR","T","3288",8,"567375"
186,"Classic","김도우","Kim Doh Woo","1991-11-27","KR","P","2939",15,"525578"
36,"MC","장민철","Jang Min Chul","1991-06-17","KR","P","1905",NULL,"515559"
233,"herO","김준호","Kim Joon Ho","1992-08-18","KR","P","3438",4,"508668"
3,"Life","이승현","Lee Seung Hyun","1997-01-11","KR","Z","2244",NULL,"470559"
5,"PartinG","원이삭","Won Lee Sak","1994-08-24","KR","P","2896",16,"456210"
19,"Polt","최성훈","Choi Seong Hun","1988-07-02","KR","T","2135",NULL,"452370"
184,"SpeCial","Juan Carlos Tena Lopez",NULL,"1993-05-20","MX","T","2640",33,"450572"
23,"Scarlett","Sasha Hostyn",NULL,"1993-12-14","CA","Z","2718",28,"427786"
13,"Mvp","정종현","Jung Jong Hyun","1991-02-12","KR","T","1805",NULL,"408481"
10115,"Oliveira","李培楠","Li Peinan","2000-06-28","CN","T","3026",12,"394695"
28,"MMA","문성원","Moon Sung Won","1988-10-29","KR","T","1952",NULL,"384886"
111,"Snute","Jens W. Aasgaard","","1990-07-28","NO","Z","2138",NULL,"379605"
26,"Nerchio","Artur Bloch",NULL,"1992-08-09","PL","Z","2092",68,"377091"
177,"Trap","조성호","Cho Sung Ho","1994-03-24","KR","P","2824",NULL,"375661"
2170,"ShoWTimE","Tobias Sieber",NULL,"1994-02-23","DE","P","2873",19,"359660"
1665,"Cure","김도욱","Kim Doh Wook","1994-11-25","KR","T","3177",10,"341255"
4,"DRG","박수호","Park Soo Ho","1991-06-03","KR","Z","2880",17,"329875"
5847,"Elazer","Mikołaj Ogonowski",NULL,"1997-12-11","PL","Z","2832",22,"324647"
5878,"Clem","Clément Desplanches",NULL,"2002-04-08","FR","T","3534",2,"319508"
10,"Stephano","Ilyes Satouri","","1993-03-12","FR","Z","2182",NULL,"315444"
6,"TaeJa","윤영서","Yun Young Seo","1995-01-01","KR","T","2333",NULL,"298238"
258,"HeRoMaRinE","Gabriel Segat","","1997-07-04","DE","T","3032",11,"295313"
44,"GuMiho","고병재","Koh Byung Jae","1992-08-04","KR","T","2981",14,"291249"
